dropped privs to tcpdump
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:02:49.294663 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:49.294665 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.294666 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.294666 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.294873 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.294874 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:49.294874 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.294875 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.295057 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.295058 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.295058 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
20:02:49.295059 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.295059 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:49.295151 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.295349 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:49.295350 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
20:02:49.295356 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
20:02:49.295405 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.295405 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.295599 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:02:49.295600 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
20:02:49.295601 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.295601 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:49.295759 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
20:02:49.295760 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
